,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
72,Gallipoli,Beirut,Gallipoli,59,246642,2019-02-01,2,0.506,0.633,10,-7.245,1,0.0321,0.436,0.586,0.0762,0.358,133.415,3,indie
73,Someone To Spend Time With,Los Retros,Someone To Spend Time With,59,173953,2019-02-12,1,0.816,0.464,9,-13.297,1,0.034,0.0498,0.201,0.106,0.963,89.571,4,indie
74,The Barrel,Aldous Harding,Designer,37,299440,2019-04-26,5,0.732,0.408,11,-8.475,1,0.036,0.747,0.000229,0.069,0.663,87.016,4,indie
75,Lava,Still Woozy,Lava,68,157303,2019-04-05,1,0.623,0.615,1,-10.064,1,0.146,0.304,0.00874,0.25,0.672,169.137,4,indie
76,Ride or Die,Milk & Bone,Ride or Die,53,224000,2019-03-26,1,0.75,0.339,9,-11.319,0,0.0278,0.293,0.0138,0.0826,0.121,104.966,4,indie
77,Are You OK?,Wasuremono,Are You OK?,53,263733,2019-03-15,1,0.478,0.684,1,-3.316,1,0.0402,0.338,0.34,0.35,0.647,162.562,4,indie
78,On The Square,Mac DeMarco,Here Comes The Cowboy,64,209393,2019-05-10,10,0.679,0.326,4,-14.408,1,0.0283,0.694,0.181,0.147,0.386,76.715,4,indie
79,No Halo,Kevin Morby,Oh My God,52,186453,2019-04-26,2,0.523,0.724,0,-5.46,1,0.0774,0.8,0.689,0.0891,0.576,116.765,4,indie
80,Easy,Claud,Easy,52,208129,2019-02-12,1,0.822,0.542,9,-7.598,1,0.0641,0.204,0.133,0.105,0.546,147.046,4,indie
81,Hey You,DOPE LEMON,Hey You,57,278386,2019-05-08,1,0.771,0.425,9,-12.039,1,0.0277,0.259,0.46,0.106,0.84,102.613,4,indie
82,Sisyphus,Andrew Bird,My Finest Work Yet,62,247493,2019-03-22,1,0.631,0.792,0,-4.364,0,0.0427,0.23,0.000317,0.0756,0.462,82.901,4,indie
83,Maybe You're the Reason,The Japanese House,Maybe You're the Reason,55,218935,2019-01-13,1,0.621,0.762,5,-6.376,1,0.0328,0.106,2.71e-06,0.302,0.395,95.014,4,indie
84,Social Cues,Cage The Elephant,Social Cues,69,219053,2019-04-19,2,0.668,0.913,9,-3.097,1,0.0348,0.0119,6.59e-06,0.111,0.933,132.039,4,indie
85,Nobody,Mac DeMarco,Here Comes The Cowboy,64,212460,2019-05-10,2,0.877,0.178,3,-13.987,1,0.102,0.776,0.0193,0.107,0.442,74.997,4,indie
86,Bad To Worse,Ra Ra Riot,Bad To Worse,61,258733,2019-03-22,1,0.766,0.552,0,-4.069,1,0.0299,0.319,1.33e-06,0.0573,0.801,140.043,4,indie
87,Turn The Light,Karen O,Lux Prima,60,199320,2019-03-15,3,0.752,0.462,4,-10.538,0,0.0519,0.0454,0.000954,0.091,0.845,101.999,4,indie
88,Some Place Else,MorMor,Some Place Else,58,214885,2019-05-03,1,0.65,0.481,0,-9.582,1,0.0283,0.201,0.901,0.111,0.166,83.976,4,indie
89,Peaches,Milk & Bone,Peaches,55,210050,2019-04-24,1,0.776,0.614,4,-7.585,1,0.0325,0.58,0.0154,0.1,0.475,111.981,4,indie
90,When Am I Gonna Lose You,Local Natives,Violet Street,64,264213,2019-04-26,2,0.452,0.834,11,-4.657,1,0.0967,0.0417,0.00036,0.119,0.514,142.088,4,indie
91,Weekend Friend,Goth Babe,Weekend Friend,60,209454,2019-01-19,1,0.409,0.594,1,-9.725,1,0.031,0.032,0.0391,0.0904,0.212,110.187,4,indie
92,Ipanema,Still Woozy,Lately,61,127044,2019-05-03,2,0.751,0.473,1,-11.458,1,0.199,0.216,0.0774,0.267,0.868,147.437,4,indie
93,Cellophane,FKA twigs,Cellophane,69,204248,2019-04-24,1,0.463,0.282,2,-12.075,1,0.0424,0.884,0.000158,0.0983,0.244,106.952,4,indie
94,Manifest,Andrew Bird,Manifest,36,317413,2019-03-05,1,0.631,0.619,0,-6.403,0,0.025,0.321,0.0,0.0658,0.417,100.258,4,indie
95,Now That You're Gone,The Raconteurs,Sunday Driver / Now That You're Gone,63,236662,2018-12-19,2,0.506,0.329,7,-13.313,1,0.064,0.261,0.158,0.0682,0.503,200.133,3,indie
96,Drunk II,Mannequin Pussy,Drunk II,51,268695,2019-04-24,1,0.473,0.958,7,-3.67,1,0.0372,4.11e-05,0.425,0.0793,0.47,136.022,4,indie
