,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
435,Alabama,Bishop Gunn,Natchez,50,214293,2018-05-04,11,0.472,0.626,9,-8.499,1,0.0849,0.312,0.00243,0.121,0.296,75.007,4,country
436,An Outlaw's Song,Demun Jones,The Oven,51,192554,2018-06-29,7,0.616,0.92,0,-2.223,1,0.0763,0.00782,0.0,0.161,0.553,123.213,4,country
437,Diamond Rings & Cocaine,Kolby Cooper,"Good Ones Never Last, Pt. 1",49,191511,2019-04-25,1,0.495,0.876,7,-3.611,1,0.0368,0.00104,1.38e-05,0.479,0.505,127.008,4,country
438,Long Haired Country Boy (feat. The Rockin' CJB),Cody Johnson,Ain't Nothin' to It - EP,41,257079,2018-10-26,4,0.539,0.786,6,-4.884,1,0.0269,0.00228,1.79e-05,0.121,0.503,88.969,4,country
439,Blaze of Somethin',A Thousand Horses,Bridges,47,209580,2018-01-11,1,0.536,0.825,6,-4.724,1,0.0623,0.0309,0.0,0.11,0.779,99.94,4,country
440,American Thread,Tim Montana,American Thread,45,199266,2019-02-01,1,0.445,0.954,4,-5.417,1,0.117,0.128,0.0,0.395,0.543,170.073,4,country
441,For a Beer,Taylor Phillips,Six Strings Attached,46,164960,2018-05-25,3,0.605,0.866,11,-3.753,1,0.0413,0.0629,0.0,0.0323,0.674,168.208,4,country
442,All of These Years,The Steel Woods,All of These Years,48,251498,2019-01-04,1,0.557,0.652,9,-5.308,0,0.0287,0.00795,0.00728,0.0989,0.484,92.062,4,country
443,We The People,Colt Ford,We The People,51,153642,2019-05-10,1,0.574,0.696,7,-5.08,1,0.0413,0.0524,0.0,0.222,0.798,168.219,4,country
444,Don't Tell Me,Read Southall Band,Borrowed Time,50,220649,2017-04-07,2,0.559,0.668,2,-5.347,0,0.0264,0.00129,0.000108,0.077,0.721,150.026,4,country
445,When It Rains It Pours,Luke Combs,This One's for You,78,240760,2017-06-02,8,0.551,0.801,6,-5.069,1,0.0303,0.013,6.03e-06,0.265,0.625,128.027,4,country
446,High on That Mountain,Yankton,High on That Mountain,44,184917,2019-02-01,1,0.645,0.929,7,-4.324,1,0.0618,0.00479,0.000305,0.257,0.399,110.016,4,country
447,Second One To Know,Chris Stapleton,From A Room: Volume 1,58,176066,2017-05-05,3,0.527,0.893,0,-6.061,0,0.0396,0.0244,0.000753,0.343,0.892,96.73,4,country
448,Restless Ways,Gethen Jenkins,Restless Ways,44,222520,2019-02-15,1,0.519,0.918,7,-4.928,1,0.0799,0.000409,0.0469,0.0558,0.624,113.573,4,country
449,Po' Boyz,Davisson Brothers Band,Po' Boyz,45,206388,2018-03-23,1,0.561,0.699,8,-2.686,1,0.0394,0.165,0.0,0.231,0.209,167.007,4,country
450,Till the Wheels Fall Off,Blackberry Smoke,Find a Light,47,225165,2018-04-06,12,0.496,0.755,9,-4.408,0,0.0277,0.000964,0.0876,0.374,0.421,90.0,4,country
451,It Ain't My Fault,Brothers Osborne,Pawn Shop,65,216800,2016-01-15,11,0.735,0.831,9,-5.898,1,0.0332,0.00166,0.217,0.291,0.756,123.017,4,country
452,Mr. Lonely,Midland,Mr. Lonely,62,179135,2019-03-29,1,0.594,0.859,4,-5.004,1,0.0365,0.0328,4.68e-06,0.426,0.851,149.929,4,country
453,Can’t Hide Red,Florida Georgia Line,Can't Hide Red,55,181600,2019-02-13,1,0.514,0.864,4,-3.246,0,0.0502,0.0256,0.0,0.103,0.471,94.927,4,country
454,Midnight Train To Memphis,Chris Stapleton,From A Room: Volume 2,61,222653,2017-12-01,7,0.281,0.929,9,-7.639,1,0.11,0.00148,0.00708,0.373,0.636,178.029,3,country
455,New Buzz,Randy Houser,New Buzz,3,178973,2018-09-21,1,0.686,0.837,0,-4.591,1,0.0452,0.206,5.8e-05,0.213,0.829,155.951,4,country
456,The Night We Met,Lord Huron,Strange Trails,74,208226,2015-04-07,14,0.441,0.379,2,-9.545,1,0.0449,0.968,0.262,0.639,0.105,174.118,3,country
457,Slow Burn,Kacey Musgraves,Golden Hour,70,246133,2018-03-30,1,0.555,0.43,2,-9.105,1,0.0295,0.462,0.000191,0.0869,0.274,147.613,4,country
458,God Only Knows (Robin G. Acoustic Mix),for KING & COUNTRY,God Only Knows (Robin G. Acoustic Mix),49,210266,2019-04-12,1,0.662,0.355,2,-8.04,1,0.0349,0.638,0.0,0.143,0.439,144.081,4,country
459,What If I Stay,Chris Young,I'm Comin' Over,54,205560,2015-11-13,11,0.58,0.653,4,-6.051,1,0.0275,0.131,4.65e-05,0.116,0.232,94.021,4,country
460,Coming Down the Mountain,Mipso,Coming Down the Mountain,58,273959,2017-03-03,1,0.582,0.344,4,-9.148,1,0.0278,0.857,0.0871,0.15,0.374,140.013,4,country
461,Mercy,Brett Young,Brett Young,72,217120,2017-02-10,12,0.638,0.367,4,-7.906,1,0.0266,0.84,0.0,0.0999,0.219,71.957,4,country
462,A Simple Song,Chris Stapleton,From A Room: Volume 2,60,216013,2017-12-01,6,0.613,0.199,5,-16.36,1,0.0298,0.87,0.000218,0.104,0.376,77.104,4,country
463,Without A Word,Sara Watkins,Without A Word,49,238560,2016-05-27,1,0.579,0.171,11,-14.495,1,0.0303,0.901,0.000308,0.111,0.389,136.311,4,country
464,Nothing Like You,Dave Barnes,"Carry on, San Vicente",51,262079,2016-03-18,7,0.608,0.496,0,-8.929,1,0.0309,0.558,1.15e-05,0.152,0.506,77.037,4,country
465,Never in My Wildest Dreams,Dan Auerbach,Waiting on a Song,64,176026,2017-06-02,6,0.559,0.466,5,-6.769,1,0.0362,0.315,0.0039,0.0933,0.623,117.21,4,country
466,Rainbow,Kacey Musgraves,Golden Hour,73,214293,2018-03-30,13,0.581,0.197,3,-7.697,1,0.0329,0.88,0.0,0.107,0.349,130.367,4,country
467,The Trouble with Wanting,Joy Williams,Canary / The Trouble with Wanting,43,235586,2018-10-05,2,0.396,0.198,2,-9.096,1,0.031,0.912,0.0,0.0972,0.19,138.624,3,country
468,War,The Dryes,War,51,227661,2018-09-21,1,0.407,0.244,2,-11.591,1,0.0294,0.69,0.0,0.0881,0.32,74.813,1,country
469,The House That Built Me,Miranda Lambert,Revolution,63,236626,2009-09-24,10,0.515,0.3,5,-8.005,1,0.0289,0.575,8.46e-06,0.115,0.206,81.12,4,country
470,Stars Are on Your Side,Ross Copperman,Stars Are on Your Side,52,218004,2019-04-18,1,0.255,0.625,0,-8.31,1,0.0323,0.63,0.000211,0.0976,0.191,84.611,4,country
471,Suitcase Heart,Tyler Cain,Suitcase Heart,9,164194,2016-11-07,1,0.757,0.29,8,-6.217,1,0.0324,0.856,0.0,0.0877,0.226,123.003,4,country
472,Whiskey And You,Chris Stapleton,Traveller,63,236333,2015-05-04,5,0.592,0.0562,2,-14.344,1,0.0599,0.919,6.22e-06,0.111,0.266,127.005,4,country
473,Tonight I Don't Give a Damn,Erin Enderlin,Chapter One: Tonight I Don't Give a Damn,48,179372,2019-04-26,3,0.526,0.196,0,-8.727,1,0.0292,0.846,9.82e-05,0.112,0.164,71.688,4,country
474,She Don't Love You,Eric Paslay,Eric Paslay,56,262053,2014-01-01,9,0.36,0.333,7,-8.491,1,0.0285,0.335,1.09e-06,0.114,0.17,74.53,1,country
475,Autumn Town Leaves,Iron & Wine,Weed Garden,57,195200,2018-08-31,5,0.657,0.32,1,-15.104,1,0.031,0.857,0.00125,0.144,0.39,115.724,4,country
476,Front Porch,Joy Williams,Front Porch,56,231813,2019-01-24,1,0.567,0.224,1,-10.024,1,0.0299,0.887,0.0,0.109,0.2,124.44,4,country
477,Just In Case - Acoustic,Catherine McGrath,Starting From Now,48,194162,2017-06-09,4,0.611,0.345,5,-6.629,1,0.0326,0.907,0.0,0.117,0.251,99.805,4,country
478,Giving It All (To You),Haley & Michaels,Giving It All (To You),50,234333,2015-05-01,1,0.636,0.32,9,-9.953,1,0.028,0.771,0.0,0.117,0.2,114.337,4,country
