,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
35,Mountain Man,Liz Cooper & the Stampede,Mountain Man,44,238426,2018-05-18,1,0.421,0.698,3,-9.784,1,0.0528,0.151,0.000959,0.372,0.447,122.624,4,folk
36,White Flag,Joseph,White Flag,13,199853,2016-01-01,1,0.57,0.858,2,-4.732,1,0.042,0.0386,0.00222,0.316,0.451,107.985,4,folk
37,Lay It On Me,Vance Joy,Lay It On Me,55,214853,2017-07-12,1,0.728,0.673,5,-5.766,1,0.0318,0.0964,6.94e-06,0.0695,0.489,127.995,4,folk
38,King And Lionheart,Of Monsters and Men,My Head Is An Animal,59,273853,2012-01-01,2,0.517,0.686,3,-6.401,1,0.0442,0.134,0.00362,0.113,0.238,126.524,4,folk
39,Wolf (Bonus Track),First Aid Kit,Wolf - Single,54,220333,2012-09-18,1,0.522,0.746,8,-6.999,1,0.0422,0.0594,0.00103,0.257,0.404,102.093,4,folk
40,Hi Ho,The War and Treaty,Hi Ho,51,191635,2016-04-28,1,0.489,0.649,7,-6.041,1,0.0334,0.405,0.0,0.062,0.734,114.869,4,folk
41,Start Right Now (feat. Laney Jones),Young Pines,Start Right Now (feat. Laney Jones),50,194230,2016-03-25,1,0.787,0.704,6,-6.46,1,0.0499,0.00463,0.451,0.0543,0.504,121.009,4,folk
42,Celeste,Ezra Vine,Celeste EP,62,203309,2014-09-05,1,0.604,0.841,1,-5.145,1,0.0423,0.0299,0.00382,0.136,0.578,138.976,4,folk
43,Back & Forth,Wild Child,Sinking Ship / Back & Forth,50,211360,2018-01-09,2,0.749,0.699,5,-7.193,0,0.0469,0.0694,0.0,0.124,0.641,123.965,4,folk
44,Life's What You Make It,Graham Colton,Life's What You Make It,52,186109,2016-03-04,1,0.655,0.686,7,-5.701,1,0.028,0.371,1.13e-06,0.113,0.544,112.974,4,folk
45,Alive,Graeme James,Alive,31,242000,2016-09-23,1,0.716,0.887,5,-7.738,1,0.0331,0.149,0.332,0.111,0.78,117.021,4,folk
46,Our Bodies,Emil Landman,Our Bodies,11,189906,2016-06-17,1,0.761,0.542,4,-5.256,1,0.0269,0.561,1.53e-06,0.258,0.87,81.975,4,folk
47,Empress,Morningsiders,Empress,61,199742,2014-05-06,1,0.703,0.549,0,-9.731,1,0.0295,0.326,0.00256,0.082,0.385,99.985,5,folk
48,Love Love Love - AU Master,Avalanche City,Love Love Love,48,192826,2012-03-20,1,0.519,0.494,6,-5.399,1,0.0263,0.188,0.0,0.159,0.243,99.909,4,folk
49,King of Spain,The Tallest Man On Earth,The Wild Hunt,10,208200,2010-04-12,6,0.383,0.489,8,-8.334,1,0.0343,0.715,1.85e-06,0.0856,0.387,131.377,4,folk
50,I Keep Ticking On,The Harmaleighs,"Pretty Picture, Dirty Brush",11,156360,2015-02-03,2,0.602,0.771,3,-4.494,1,0.04,0.245,0.0,0.107,0.41,125.024,4,folk
51,Only the Wild Ones,Dispatch,"America, Location 12",54,253165,2017-06-02,2,0.492,0.7,8,-7.001,1,0.0437,0.413,0.00013,0.0996,0.605,110.741,4,folk
52,Lay By Me,firekid,firekid,51,192466,2015-09-25,3,0.696,0.77,1,-5.774,1,0.0556,0.312,0.0,0.0503,0.494,128.053,4,folk
53,Happiness Is Not A Place,The Wind and The Wave,Happiness Is Not A Place,10,251000,2016-08-12,1,0.694,0.872,10,-3.799,0,0.0297,0.00941,1.68e-05,0.0719,0.962,113.978,4,folk
54,Neighbors,Lucius,Neighbors,11,205120,2018-01-19,1,0.735,0.797,4,-5.27,0,0.028,0.282,6.85e-06,0.125,0.852,102.964,4,folk
55,In Your Arms,Chef'Special,Chef'Special,14,215237,2015-06-02,2,0.648,0.564,5,-10.269,1,0.0682,0.673,0.0,0.115,0.377,92.958,4,folk
56,Call It Dreaming,Iron & Wine,Call It Dreaming,66,231760,2017-08-06,1,0.519,0.515,5,-9.448,1,0.031,0.61,5.66e-05,0.107,0.714,80.329,4,folk
57,"If You Need To, Keep Time On Me",Fleet Foxes,"If You Need To, Keep Time On Me",15,210506,2017-06-07,1,0.521,0.22,9,-10.202,1,0.0314,0.647,0.00814,0.179,0.135,104.03,4,folk
58,Humbug Mountain Song,Fruit Bats,Absolute Loser,62,184346,2016-05-13,2,0.593,0.926,6,-5.361,0,0.0319,0.0355,0.0582,0.311,0.945,100.011,4,folk
59,Hideaway,MAGIC GIANT,In The Wind,51,250786,2017-05-19,2,0.618,0.916,6,-4.685,0,0.0651,0.00914,0.00023,0.204,0.717,123.969,4,folk
60,Ophelia,The Lumineers,Ophelia,60,160097,2016-02-05,1,0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4,folk
61,Riptide,Vance Joy,Dream Your Life Away,75,204280,2014-09-08,4,0.484,0.731,1,-6.694,1,0.0379,0.431,0.0,0.151,0.51,101.654,4,folk
62,One + One,Graeme James,One + One,30,204000,2016-09-23,1,0.764,0.541,7,-7.496,1,0.109,0.438,0.0011,0.0707,0.5,172.124,4,folk
63,"Easy, Love",Tom West,Oncoming Clouds,47,207069,2015-04-28,1,0.538,0.626,8,-10.333,0,0.0426,0.746,0.000383,0.198,0.337,120.971,4,folk
64,Ain't No Man,The Avett Brothers,True Sadness,60,212346,2016-06-24,1,0.766,0.695,11,-5.564,1,0.341,0.315,0.0,0.112,0.766,90.805,4,folk
65,Shakedown,Valerie June,The Order Of Time,50,166440,2017-03-10,3,0.52,0.883,1,-6.224,0,0.0316,0.0237,0.249,0.205,0.694,96.499,4,folk
