,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
643,Where There's Smoke,rum.gold,Where There's Smoke,44,273809,2018-06-22,1,0.443,0.352,6,-9.497,0,0.0391,0.423,5.26e-05,0.0806,0.234,89.785,4,alternative
644,Call Me Up,Aolani,Call Me Up,42,262642,2018-09-21,1,0.655,0.351,11,-9.228,1,0.0403,0.626,0.00267,0.118,0.574,140.079,4,alternative
645,Summer,Celeste,Lately - EP,46,223881,2019-03-22,4,0.634,0.247,9,-14.01,1,0.198,0.554,0.000924,0.387,0.165,159.782,4,alternative
646,Møøn,Joe Hertz,Møøn,50,180200,2019-02-27,1,0.645,0.681,10,-7.798,1,0.0473,0.0994,0.00496,0.144,0.436,129.992,4,alternative
647,Lovestained,Hope Tala,Lovestained,53,175280,2019-04-03,1,0.781,0.684,11,-8.083,1,0.0676,0.125,0.00277,0.122,0.585,88.966,4,alternative
648,Steam,Shagabond,Steam,49,176000,2018-10-24,1,0.639,0.47,1,-6.939,0,0.543,0.233,0.0,0.0362,0.386,180.121,4,alternative
649,Reason,Hablot Brown,Soulection Black Label: Hablot Brown,55,200000,2018-07-29,1,0.799,0.309,5,-8.462,0,0.165,0.164,0.00037,0.0854,0.553,89.964,4,alternative
650,Coke & Henny Pt. 2,Pink Sweat$,Volume 2,65,157333,2019-03-28,3,0.806,0.289,1,-9.853,0,0.0389,0.609,0.0,0.105,0.457,89.958,4,alternative
651,Dog Eyes,Dijon,Sci Fi 1,45,177400,2019-03-01,4,0.316,0.438,5,-8.132,1,0.0582,0.206,0.0,0.113,0.185,88.26,4,alternative
652,Blue,Hope Tala,Starry Ache,38,161500,2018-10-03,1,0.818,0.496,4,-11.953,0,0.214,0.122,0.00638,0.369,0.38,95.996,4,alternative
653,Desperately,Hajk,Drama,38,193773,2019-02-08,9,0.694,0.305,2,-13.949,1,0.107,0.486,0.00204,0.121,0.391,136.032,4,alternative
654,Romantic Garbage,Arlo Parks,Romantic Garbage,44,171384,2019-03-20,1,0.575,0.331,7,-13.184,1,0.406,0.462,0.387,0.1,0.515,83.931,4,alternative
655,Cut Me Down,rum.gold,yaRn,37,236453,2019-03-08,5,0.552,0.354,8,-10.451,0,0.057,0.541,8.27e-05,0.0612,0.222,79.908,4,alternative
656,Lucky,Choker,Forever & A Few,59,251034,2019-02-08,2,0.477,0.328,4,-8.458,1,0.0658,0.906,7.36e-06,0.262,0.283,174.143,4,alternative
657,Cut My Teeth,James Droll,Cut My Teeth,33,157113,2019-03-08,1,0.619,0.508,0,-8.955,1,0.237,0.14,6.66e-06,0.142,0.485,170.062,4,alternative
658,Real Something (feat. ESTA.),Rayana Jay,Real Something (feat. ESTA.),54,186335,2019-03-06,1,0.529,0.449,0,-8.005,0,0.0426,0.76,2.5e-06,0.0954,0.37,80.776,3,alternative
659,Devil's Juice,Poppy Ajudha,Devil's Juice,45,205528,2019-03-15,1,0.484,0.802,4,-5.552,0,0.17,0.179,0.0,0.109,0.58,179.816,4,alternative
660,Slip,AMA,Slip,46,151920,2019-02-21,1,0.874,0.449,6,-4.095,0,0.163,0.0646,4.4e-06,0.168,0.879,135.003,4,alternative
661,Drunk,Dijon,Drunk,57,191750,2019-02-27,1,0.472,0.431,10,-6.593,1,0.0614,0.0687,0.0,0.215,0.284,123.799,4,alternative
662,SOS,McClenney,SOS,49,187241,2019-02-19,1,0.697,0.251,1,-13.628,0,0.039,0.572,0.00394,0.122,0.555,72.95,4,alternative
663,Limbo,Joesef,Limbo,50,224682,2019-02-22,1,0.358,0.76,5,-7.725,1,0.14,0.407,0.00203,0.256,0.741,86.799,4,alternative
664,Midas Touch,Zacari,Midas Touch,51,182924,2019-03-01,1,0.572,0.682,1,-7.171,0,0.322,0.0124,0.0047,0.219,0.313,146.905,4,alternative
665,Petrol Bliss,Choker,Mono No Moto,52,189295,2019-01-25,1,0.778,0.291,0,-10.355,1,0.106,0.84,8.23e-05,0.66,0.353,142.015,4,alternative
666,Easy,Mac Ayres,Drive Slow,71,314357,2017-08-11,8,0.722,0.282,5,-7.484,1,0.106,0.373,0.00557,0.147,0.217,91.367,4,alternative
667,Yuyu,((( O ))),Yuyu,43,177431,2019-02-21,1,0.8,0.304,1,-7.541,1,0.0499,0.687,0.00505,0.0991,0.103,102.902,4,alternative
668,Only Child,Tierra Whack,Only Child,64,239324,2019-02-19,1,0.826,0.365,1,-7.024,1,0.0412,0.849,3.8e-06,0.186,0.802,85.244,4,alternative
669,Bruises and Satin - Demo,Sophie Meiers,Wingspan (Demos),55,183312,2019-01-08,4,0.79,0.245,0,-14.835,1,0.0445,0.6,0.334,0.73,0.248,111.99,4,alternative
670,Mind’s Eye,Jordan Rakei,Mind’s Eye,58,246087,2019-02-26,1,0.485,0.534,0,-10.259,0,0.193,0.451,0.00291,0.185,0.163,123.047,4,alternative
671,Blue Jeans,No Suits,Blue Jeans,38,189246,2019-02-22,1,0.595,0.786,8,-5.051,1,0.0483,0.0117,0.0899,0.0713,0.678,146.011,4,alternative
672,Best Is Yet To Come,Savannah Ré,Best Is Yet To Come,42,141440,2018-10-05,1,0.471,0.439,7,-5.854,1,0.0679,0.234,0.00214,0.092,0.121,102.162,5,alternative
673,Arouse,Noah,Arouse,45,213913,2018-08-03,1,0.67,0.751,1,-6.066,1,0.433,0.0728,0.0,0.368,0.533,91.961,4,alternative
674,Starchild,Elujay,Starchild,54,190152,2018-05-11,1,0.503,0.615,10,-6.545,0,0.232,0.125,0.00014,0.0881,0.494,82.533,4,alternative
675,Cruisin',Quincy Mumford,Cruisin',40,165373,2019-02-08,1,0.627,0.315,4,-9.74,1,0.0619,0.61,0.0,0.158,0.219,86.004,4,alternative
676,Ballin,Parisalexa,Flexa,46,213000,2018-06-08,2,0.705,0.371,8,-9.398,1,0.157,0.163,1.12e-06,0.0718,0.541,74.931,4,alternative
677,Love.mp3,EJ Marais,Love.mp3,33,197875,2019-02-06,1,0.875,0.634,5,-7.467,0,0.0486,0.0752,0.0315,0.435,0.451,120.026,4,alternative
678,Father's Son,Celeste,Father's Son,33,195614,2019-01-21,1,0.682,0.474,9,-4.975,0,0.0308,0.459,0.0,0.122,0.328,62.506,4,alternative
679,Into You,Amilli,Into You,39,161694,2019-01-18,1,0.594,0.135,0,-13.25,1,0.0413,0.778,1.48e-06,0.101,0.0759,59.011,4,alternative
680,Popstar,Ryahn,Popstar,38,216000,2018-10-23,1,0.604,0.756,1,-6.442,0,0.153,0.78,0.0,0.0825,0.56,130.113,4,alternative
681,I Wish I Missed My Ex,Mahalia,I Wish I Missed My Ex,69,205263,2018-05-31,1,0.68,0.62,0,-5.117,1,0.0607,0.319,1.14e-06,0.158,0.537,95.078,4,alternative
682,Delilah,Aeris Roves,Moon By Island Gardens,54,187253,2018-11-02,2,0.814,0.435,7,-8.422,1,0.0684,0.814,1.62e-06,0.105,0.416,98.049,4,alternative
683,Wolverine,Diana Gordon,Pure,46,212440,2018-08-03,1,0.712,0.504,7,-6.95,1,0.044,0.0346,0.000955,0.185,0.078,129.994,4,alternative
