,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
135,Reggaetón en lo Oscuro,Wisin & Yandel,Reggaetón en lo Oscuro,27,208946,2018-10-25,1,0.744,0.894,1,-3.685,1,0.0769,0.0627,3.71e-06,0.108,0.729,92.018,4,latin
136,El Préstamo,Maluma,F.A.M.E.,74,219600,2018-05-18,3,0.74,0.74,5,-3.647,0,0.0686,0.205,0.0,0.107,0.717,93.95,4,latin
137,Hola,Zion & Lennox,Hola,71,220538,2018-08-31,1,0.81,0.789,1,-5.048,1,0.04,0.069,0.00103,0.0638,0.856,94.025,4,latin
138,Mayores,Becky G,Mayores,76,202453,2017-07-14,1,0.743,0.855,5,-3.976,0,0.0436,0.141,0.0045,0.099,0.871,96.989,4,latin
139,Asesina - Remix,Brytiago,Asesina (Remix),80,327466,2018-10-31,1,0.825,0.69,10,-4.252,0,0.226,0.589,0.0,0.413,0.516,94.194,4,latin
140,Downtown,Anitta,Downtown,76,193456,2017-11-19,1,0.775,0.679,4,-4.985,0,0.135,0.18,7.26e-05,0.068,0.619,166.008,4,latin
141,Traicionera,Sebastian Yatra,Traicionera,68,228466,2016-06-24,1,0.783,0.673,11,-4.938,1,0.0536,0.143,0.0,0.216,0.658,91.0,4,latin
142,Tu Cariñito,Various Artists,2 Grandes de la Salsa Vol. 4,64,251253,2008-11-11,1,0.691,0.873,5,-8.758,0,0.0382,0.33,1.63e-06,0.0362,0.916,93.685,4,latin
143,Solo de Mi,Bad Bunny,Solo de Mi,77,197967,2018-12-14,1,0.743,0.73,10,-4.314,0,0.125,0.287,8.1e-05,0.0778,0.15,179.972,4,latin
144,Síguelo Bailando,Ozuna,Odisea,76,226800,2017-08-25,11,0.855,0.664,9,-7.11,0,0.0607,0.165,3.97e-05,0.0937,0.626,98.015,4,latin
145,Reggaetón Lento (Bailemos),CNCO,Primera Cita,74,222560,2016-08-26,3,0.761,0.838,4,-3.073,0,0.0502,0.4,0.0,0.176,0.71,93.974,4,latin
146,Échame La Culpa,Luis Fonsi,Échame La Culpa,73,173720,2017-11-17,1,0.726,0.889,0,-3.655,1,0.0429,0.0328,0.0,0.0925,0.649,96.024,4,latin
147,Havana - Remix,Camila Cabello,Havana (Remix),70,199095,2017-11-12,1,0.751,0.579,2,-4.036,1,0.0321,0.398,2.28e-05,0.133,0.349,105.031,4,latin
148,La Vida Es Un Carnaval,Celia Cruz,Mi Vida Es Cantar,12,275253,2016-05-06,9,0.82,0.717,8,-6.191,1,0.0722,0.439,0.00107,0.236,0.843,104.005,4,latin
149,Criminal,Natti Natasha,Criminal,79,232549,2017-09-01,1,0.814,0.813,2,-3.023,0,0.0561,0.03,9.33e-05,0.255,0.839,79.997,4,latin
150,Te Vi,Piso 21,Te Vi,88,231848,2018-12-14,1,0.877,0.777,1,-4.246,1,0.117,0.0446,3.46e-05,0.0863,0.706,102.02,4,latin
151,Ella Quiere Beber - Remix,Anuel Aa,Ella Quiere Beber (Remix),61,219357,2018-11-02,1,0.751,0.665,8,-3.083,1,0.124,0.265,0.0,0.0515,0.698,95.239,4,latin
152,Desconocidos,Mau y Ricky,Desconocidos,87,204453,2018-10-12,1,0.709,0.771,7,-4.598,1,0.166,0.146,3.29e-06,0.249,0.709,174.006,4,latin
153,HP,Maluma,HP,91,184435,2019-03-01,1,0.837,0.791,4,-3.157,0,0.0773,0.252,1.14e-06,0.188,0.618,91.98,4,latin
154,Pa Mí - Remix,Dalex,Pa Mí (Remix),89,360960,2019-02-07,1,0.688,0.62,11,-8.029,0,0.22,0.753,5.27e-06,0.158,0.727,170.018,4,latin
155,Baila Baila Baila,Ozuna,Baila Baila Baila,89,158400,2019-01-05,1,0.816,0.754,11,-2.75,0,0.111,0.0361,0.0,0.217,0.533,99.966,4,latin
156,Culpables,Karol G,Culpables,81,226626,2018-09-14,1,0.728,0.801,8,-2.942,0,0.0683,0.279,4.71e-06,0.143,0.416,130.059,4,latin
157,Sola,Manuel Turizo,Sola,78,195044,2018-11-09,1,0.704,0.706,11,-5.233,0,0.111,0.483,0.0,0.0965,0.856,92.965,4,latin
158,Amigos Con Derechos,Reik,Amigos Con Derechos,81,227476,2018-08-31,1,0.686,0.807,1,-3.324,1,0.0613,0.0481,0.0,0.0652,0.63,183.971,4,latin
159,Aullando,Wisin & Yandel,"Los Campeones del Pueblo ""The Big Leagues""",86,226200,2018-12-14,4,0.8,0.74,10,-4.52,0,0.0479,0.184,0.0,0.0558,0.775,90.035,4,latin
160,MIA (feat. Drake),Bad Bunny,MIA (feat. Drake),88,210367,2018-10-11,1,0.817,0.539,6,-6.349,0,0.0621,0.0141,0.000496,0.099,0.158,97.062,4,latin
161,Secreto,Anuel Aa,Secreto,91,258800,2019-01-15,1,0.807,0.803,11,-4.156,1,0.126,0.602,0.00853,0.136,0.706,91.987,4,latin
162,Vaina Loca,Ozuna,Vaina Loca,28,176133,2018-06-28,1,0.754,0.805,6,-4.249,1,0.0752,0.315,0.0,0.203,0.555,93.983,4,latin
163,Puntos Suspensivos,Piso 21,Ubuntu,80,186315,2018-05-11,10,0.823,0.731,11,-3.399,0,0.103,0.175,0.0,0.131,0.952,152.024,4,latin
164,Calma - Remix,Pedro Capó,Calma (Remix),92,238200,2018-10-05,1,0.826,0.773,11,-4.218,0,0.0524,0.323,0.0,0.143,0.761,126.899,4,latin
165,Un Año,Sebastian Yatra,Un Año,86,164440,2019-01-18,1,0.771,0.382,1,-6.808,0,0.0514,0.148,0.0,0.104,0.535,94.931,4,latin
166,Créeme,Karol G,Créeme,83,212493,2018-11-02,1,0.715,0.872,6,-3.501,1,0.0547,0.154,0.000146,0.11,0.682,96.939,4,latin
