,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
485,Haupe,Duke Ellington,Anatomy of a Murder,55,156306,1959,12,0.415,0.0187,10,-20.209,1,0.0363,0.905,0.194,0.0979,0.14,111.42,4,jazz
486,Kiss From A Rose,Julia Hülsmann Trio,The End Of A Summer,15,245306,2008-10-17,3,0.475,0.0739,0,-22.641,1,0.0544,0.934,0.781,0.0827,0.102,121.948,3,jazz
487,Abusey Junction,Various Artists,We out Here,58,429093,2018-02-09,9,0.72,0.346,8,-12.008,0,0.0605,0.851,0.938,0.112,0.383,83.752,4,jazz
488,What A Wonderful World,Tan Chin,Classics,43,187399,2017-06-27,2,0.376,0.0222,11,-26.348,1,0.0563,0.995,0.936,0.124,0.229,72.772,3,jazz
489,Imagine,Edward Jefferson,Jazz Covers,51,177353,2017-06-27,1,0.433,0.023,11,-23.97,1,0.0653,0.995,0.909,0.0987,0.231,66.56,4,jazz
490,Girl From Ipanema,Davide Ambrosia,Grand Hotel,55,203318,2015,2,0.427,0.0502,5,-19.982,1,0.0557,0.995,0.96,0.0962,0.166,110.939,4,jazz
491,Be By My Side,Dom Salvador,Dom Salvador,39,167226,1969,11,0.648,0.758,7,-7.804,1,0.0288,0.0561,0.924,0.223,0.839,120.06,4,jazz
492,Isn't She Lovely,Milos Foreman,Jazz Standards,53,166651,2017-03-18,2,0.725,0.176,11,-18.639,1,0.0358,0.943,0.926,0.204,0.107,93.628,4,jazz
493,Somewhere Over The Rainbow,Tan Chin,Classics,51,189112,2017-06-27,1,0.465,0.0149,4,-27.28,1,0.0452,0.995,0.94,0.111,0.172,66.319,4,jazz
494,The Winner Takes It All,The Groove Planters,The Groove Planters,50,185747,2017-06-23,2,0.646,0.237,4,-13.886,0,0.0601,0.828,0.845,0.0961,0.537,85.199,4,jazz
495,I Have A Dream,Sebastian Dalton Trio,Our Take,52,151901,2017-06-20,3,0.732,0.226,1,-15.145,0,0.0452,0.562,0.866,0.0752,0.181,85.289,4,jazz
496,Young and Foolish,Scott Hamilton,Moon Mist,57,330615,2018-05-18,4,0.456,0.276,5,-7.419,1,0.0316,0.965,0.0525,0.0775,0.157,103.335,4,jazz
497,Eu Vim Da Bahia,Luciana Souza,Duos III,33,162186,2012-01-01,7,0.784,0.269,11,-11.634,0,0.0441,0.984,0.0219,0.0996,0.784,92.583,4,jazz
498,On Your Lips,Trio From Rio,Tropicana,52,242032,2017-03-18,2,0.682,0.227,4,-14.881,1,0.0345,0.921,0.81,0.103,0.164,93.714,4,jazz
499,That's All,Jimmy Forrest,Pick Yourself Up,50,293933,2018-03-28,3,0.406,0.175,3,-17.018,1,0.0525,0.953,0.92,0.0841,0.436,180.707,3,jazz
