,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
388,"You're A Mean One, Mr. Grinch",Various Artists,Dr. Seuss' How The Grinch Stole Christmas!,29,315706,2012-10-09,6,0.517,0.484,2,-10.93,0,0.318,0.952,0.0075,0.129,0.42,141.914,3,seasonal
389,(There's No Place Like) Home for the Holidays - 1959 Version,Perry Como,A Perry Como Christmas,22,178293,2001-05-21,11,0.532,0.401,5,-10.629,1,0.0524,0.869,0.0,0.222,0.451,143.815,4,seasonal
390,Please Come Home For Christmas,Aaron Neville,Aaron Neville's Soulful Christmas,20,172760,1993-01-01,1,0.47,0.435,3,-10.464,1,0.0285,0.609,0.00213,0.186,0.565,183.426,3,seasonal
391,Christmas Time Is Here,Sarah McLachlan,Wintersong,19,241640,2006,12,0.428,0.1,10,-16.026,1,0.033,0.939,6.46e-06,0.157,0.0663,115.338,4,seasonal
392,O Tannenbaum,Vince Guaraldi Trio,A Charlie Brown Christmas (Remastered & Expanded Edition),0,309386,1965,1,0.583,0.191,5,-15.938,1,0.0404,0.908,0.00824,0.126,0.342,123.303,4,seasonal
393,Carol of the Bells,John Williams,Home Alone (Original Motion Picture Soundtrack) [25th Anniversary Edition],49,85266,1990,12,0.418,0.106,8,-22.507,0,0.0448,0.994,0.0292,0.179,0.8,46.718,4,seasonal
394,I'll Be Home for Christmas,Brett Eldredge,Glow,17,207000,2016-10-28,3,0.375,0.26,9,-9.5,1,0.0311,0.874,3.86e-05,0.316,0.278,112.569,4,seasonal
395,A Holly Jolly Christmas - Single Version,Various Artists,Christmas Number 1's,29,133293,2007-01-01,13,0.665,0.363,0,-12.983,1,0.0318,0.644,0.0,0.15,0.824,140.296,4,seasonal
396,Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version,Paul McCartney,McCartney II (Special Edition),39,227653,1980-05-16,7,0.774,0.511,11,-8.914,1,0.0319,0.322,0.0,0.0672,0.771,94.736,4,seasonal
397,The More You Give (The More You'll Have),Michael Bublé,The More You Give (The More You'll Have),30,191748,2015-11-30,1,0.37,0.929,1,-4.444,1,0.145,0.101,0.0,0.275,0.708,90.452,4,seasonal
398,This Christmas,Donny Hathaway,A Donny Hathaway Collection,35,231173,1990-04-03,15,0.634,0.645,5,-9.2,1,0.0376,0.292,0.0,0.246,0.677,93.05,4,seasonal
399,Here Comes Santa Claus (Right Down Santa Claus Lane) - Single Version,Bing Crosby,A Merry Christmas With Bing Crosby & The Andrews Sisters,12,182666,2000-01-01,15,0.669,0.299,1,-8.546,1,0.0445,0.841,0.0,0.155,0.749,151.683,4,seasonal
400,Glow,Brett Eldredge,Glow,20,209426,2016-10-28,5,0.617,0.567,2,-5.75,1,0.0549,0.587,0.0,0.106,0.593,128.151,3,seasonal
401,Christmas / Sarajevo 12/24 - Instrumental,Trans-Siberian Orchestra,Christmas Eve And Other Stories,41,205333,1996-10-15,8,0.292,0.567,4,-9.487,0,0.0316,0.197,0.852,0.0947,0.156,186.405,3,seasonal
402,Waltz Of The Flowers,Pentatonix,Christmas Is Here!,35,120960,2018-11-29,8,0.407,0.359,2,-7.794,1,0.0336,0.461,0.00151,0.0946,0.749,178.448,3,seasonal
403,Step Into Christmas,Elton John,Goodbye Yellow Brick Road (40th Anniversary Celebration/ Super Deluxe Edition),0,272393,1973-10-05,16,0.535,0.929,2,-5.537,1,0.036,0.105,1.66e-05,0.391,0.83,140.292,4,seasonal
404,Jingle Bells - Remastered 1999,Frank Sinatra,A Jolly Christmas From Frank Sinatra,33,120693,1957-09,1,0.512,0.339,8,-13.119,1,0.0498,0.727,0.0,0.0977,0.951,174.609,4,seasonal
405,Santa's Coming For Us,Sia,Everyday Is Christmas,48,206533,2017-11-17,1,0.669,0.854,1,-4.486,1,0.0999,0.0205,0.0,0.047,0.707,93.057,4,seasonal
406,Merry Christmas Baby,Otis Redding,Merry Christmas Baby / White Christmas,17,155560,1968,1,0.711,0.292,5,-14.132,0,0.0339,0.35,0.0,0.128,0.856,101.391,4,seasonal
407,Christmas (Baby Please Come Home),Hanson,Snowed In,12,200200,1997-01-01,5,0.531,0.938,9,-4.435,1,0.0493,0.00244,1.28e-06,0.11,0.578,132.875,4,seasonal
408,I Saw Mommy Kissing Santa Claus,The Jackson 5,Christmas Album,36,181266,1970-10-15,11,0.583,0.712,3,-8.222,1,0.0538,0.263,1.02e-06,0.817,0.614,128.897,4,seasonal
409,Run Rudolph Run - Single Version,Chuck Berry,Rock N' Roll Legends (International Version),0,163360,2008-02-18,7,0.682,0.741,7,-9.624,0,0.151,0.81,9.66e-06,0.0749,0.956,151.84,4,seasonal
410,Frosty The Snowman,Ella Fitzgerald,Ella Wishes You A Swinging Christmas (Expanded Edition),18,131733,1960,11,0.566,0.497,8,-7.424,1,0.0514,0.768,0.0,0.277,0.846,76.532,4,seasonal
411,The Chipmunk Song (Christmas Don't Be Late) - Remastered 1999,Alvin & The Chipmunks,Christmas With The Chipmunks (2010),32,141466,2010-01-01,2,0.613,0.37,3,-11.548,1,0.0344,0.707,2.98e-06,0.23,0.777,152.548,3,seasonal
412,My Only Wish (This Year),Various Artists,Ultimate Christmas 2,7,256360,2004-10-12,8,0.668,0.827,0,-4.524,1,0.0276,0.231,0.0,0.108,0.61,147.08,4,seasonal
413,Fa La La,Justin Bieber,Under The Mistletoe,35,185560,2011-01-01,5,0.657,0.679,10,-8.606,0,0.0361,0.0207,3.15e-06,0.198,0.416,94.493,4,seasonal
414,"Baby, It's Cold Outside (feat. Meghan Trainor)",Brett Eldredge,Glow,43,173560,2016-10-28,2,0.583,0.572,1,-4.776,1,0.0366,0.738,0.0,0.266,0.684,113.998,4,seasonal
415,Another Year Has Gone By,Céline Dion,These Are Special Times,11,204266,1998,4,0.62,0.404,4,-6.352,1,0.0235,0.592,0.0,0.118,0.194,97.69,4,seasonal
416,Silver Bells,Dean Martin,The Dean Martin Christmas Album,40,142560,1966,7,0.273,0.259,8,-13.967,1,0.0306,0.9,0.0,0.308,0.604,97.085,3,seasonal
417,Wintersong,Sarah McLachlan,Wintersong,32,210906,2006,4,0.332,0.136,7,-14.99,1,0.0356,0.972,1.67e-05,0.129,0.166,80.629,4,seasonal
418,"The Christmas Song - Spotify Singles - Holiday, Recorded at Spotify Studios NYC",Wyclef Jean,"The Christmas Song (Spotify Singles - Holiday, Recorded at Spotify Studios NYC)",18,176205,2017-11-29,1,0.5,0.326,1,-13.114,1,0.0467,0.612,0.0158,0.0966,0.16,78.058,4,seasonal
419,Don't Save It All for Christmas Day,Céline Dion,These Are Special Times,12,277360,1998,2,0.34,0.599,3,-5.713,1,0.0413,0.412,0.0,0.271,0.124,107.872,3,seasonal
420,"Where Are You Christmas - From ""Dr. Seuss' How The Grinch Stole Christmas"" Soundtrack",Various Artists,Dr. Seuss' How The Grinch Stole Christmas,36,247040,2000-01-01,14,0.389,0.343,10,-9.571,1,0.0299,0.614,0.0,0.127,0.112,110.314,4,seasonal
421,Winter Wonderland - Single Version,Louis Armstrong,Best Of / 20th Century - Christmas,10,179733,1997-01-01,14,0.451,0.158,1,-14.949,1,0.0489,0.766,0.0,0.203,0.423,76.372,4,seasonal
422,Mele Kalikimaka (Merry Christmas),Bing Crosby,White Christmas,40,175333,1945-01-01,12,0.5,0.224,3,-12.431,1,0.0935,0.646,0.0,0.284,0.62,202.481,4,seasonal
423,The Twelve Days of Christmas,Perry Como,The Complete RCA Christmas Collection,11,239293,2013-12-03,16,0.599,0.217,5,-13.703,1,0.0796,0.922,0.0,0.339,0.729,138.483,4,seasonal
424,We Wish You a Merry Christmas,Jim Brickman,Christmas Romance (Deluxe Edition),8,229853,2016-10-24,11,0.393,0.175,7,-18.479,1,0.0391,0.975,0.902,0.133,0.236,140.817,4,seasonal
425,New Slang,Kina Grannis,New Slang,44,156732,2018-03-23,1,0.676,0.173,9,-13.553,1,0.0449,0.707,0.0,0.112,0.51,127.06,4,seasonal
426,Scars,Hazey Eyes,Scars,44,199432,2018-09-05,1,0.553,0.67,11,-6.3,0,0.15,0.0964,0.0,0.142,0.156,88.279,4,seasonal
427,Confidently Lost,Sabrina Claudio,Confidently Lost,66,209885,2017-03-02,4,0.666,0.39,5,-8.575,1,0.0838,0.272,9.39e-06,0.111,0.325,113.866,4,seasonal
428,divine,Odunsi (The Engine),rare.,41,165851,2018-10-12,5,0.901,0.542,1,-4.733,1,0.076,0.258,6.92e-06,0.0589,0.844,109.955,4,seasonal
429,Better Now,Yuna,Better Now,42,232613,2018-12-07,1,0.41,0.314,10,-9.804,1,0.0528,0.937,0.0,0.12,0.159,89.71,5,seasonal
430,REASONS,Cautious Clay,REASONS,36,135000,2018-12-05,1,0.517,0.414,11,-7.054,0,0.0457,0.419,0.0,0.0642,0.231,109.507,4,seasonal
431,12 Days,Gill Bondy,12 Days,12,209234,2018-06-22,1,0.627,0.54,0,-3.265,1,0.0347,0.332,0.000127,0.136,0.363,78.477,4,seasonal
432,Habit,Still Woozy,Habit,71,153857,2018-12-07,1,0.766,0.402,1,-11.155,1,0.107,0.27,0.0007,0.106,0.466,125.107,4,seasonal
433,So Far,Paige,So Far,42,177687,2018-07-06,1,0.617,0.268,3,-14.573,1,0.0309,0.883,7.61e-06,0.0999,0.667,151.772,4,seasonal
434,Pulling Me Under,Kevin Garrett,False Hope,45,265026,2017-03-02,3,0.672,0.379,9,-9.081,0,0.0277,0.232,0.101,0.0982,0.344,89.995,3,seasonal
435,Ocean,dontask,Ocean,33,249660,2018-06-03,1,0.647,0.29,4,-16.196,1,0.0811,0.682,0.0,0.0965,0.271,74.987,4,seasonal
436,Emerald,RINI,Emerald,53,212093,2017-08-11,1,0.562,0.212,5,-13.916,0,0.0364,0.89,0.000257,0.0887,0.349,171.953,4,seasonal
437,What Do I Say,Ethan DeRose,What Do I Say,46,238760,2017-01-12,1,0.613,0.286,9,-15.484,1,0.0655,0.65,0.148,0.367,0.0651,75.542,4,seasonal
438,No Longer In My Head,Madson Project.,No Longer In My Head,48,186000,2018-01-18,1,0.641,0.324,2,-8.648,1,0.0328,0.799,0.00123,0.105,0.318,79.991,4,seasonal
439,better off,Jeremy Zucker,glisten,72,193946,2018-05-04,4,0.708,0.322,8,-12.46,0,0.0371,0.747,9.24e-05,0.137,0.46,98.892,4,seasonal
440,Stayed,Noah Slee,Otherland,35,201186,2017-08-25,12,0.477,0.284,10,-12.019,1,0.0322,0.777,0.465,0.149,0.111,60.321,4,seasonal
441,Going to the Sun,Bjéar,Going to the Sun,23,224000,2017-09-15,1,0.754,0.478,2,-11.178,1,0.0308,0.491,4.98e-05,0.11,0.213,120.007,4,seasonal
442,You're On My Mind,Tom Misch,Geography,57,258747,2018-04-06,11,0.785,0.394,4,-8.01,1,0.0392,0.572,0.000801,0.111,0.131,100.002,4,seasonal
443,As Long As I Got You,Madson Project.,As Long As I Got You,28,172199,2018-06-28,1,0.354,0.418,6,-14.063,1,0.0708,0.821,0.0107,0.282,0.161,190.158,4,seasonal
444,Comrade,Volcano Choir,Repave,52,274506,2013-09-03,3,0.504,0.444,7,-8.96,1,0.0301,0.731,0.805,0.0896,0.337,146.435,4,seasonal
445,Old Pine,Ben Howard,Every Kingdom,69,328506,2011-01-01,1,0.401,0.364,5,-10.836,1,0.033,0.45,0.0503,0.162,0.224,129.568,4,seasonal
446,Queen of Coasts,Edwin Raphael,Ocean Walk,35,269808,2015-06-19,6,0.424,0.222,4,-13.011,1,0.0353,0.901,0.134,0.112,0.215,169.435,4,seasonal
447,XO,John Mayer,XO,71,213626,2014-05-27,1,0.431,0.377,2,-9.753,1,0.0288,0.749,0.0,0.211,0.353,173.67,4,seasonal
448,Equinox,Brandon,Equinox,41,278000,2018-09-24,1,0.434,0.753,1,-6.527,1,0.037,0.537,2.41e-05,0.102,0.256,158.952,3,seasonal
449,Something Else,Eyes Made Quiet,Something Else,7,272000,2018-12-03,1,0.703,0.17,3,-20.986,1,0.0566,0.947,0.914,0.104,0.365,128.903,4,seasonal
450,Be Alright,Dean Lewis,Be Alright,87,196373,2018-06-29,1,0.553,0.586,11,-6.319,1,0.0362,0.697,0.0,0.0813,0.443,126.684,4,seasonal
451,Magic In The Hamptons (feat. Lil Yachty),Social House,Magic In The Hamptons (feat. Lil Yachty),75,164640,2018-06-08,1,0.769,0.479,1,-5.339,1,0.0385,0.66,0.0,0.0914,0.803,96.051,4,seasonal
452,When We Were Young,Lost Kings,When We Were Young,71,193911,2018-05-11,1,0.547,0.789,8,-5.619,1,0.042,0.00871,0.0,0.1,0.345,129.916,4,seasonal
453,Memories,Shawn Mendes,Handwritten (Revisited),65,232520,2015-11-20,16,0.495,0.158,4,-8.981,1,0.0289,0.801,0.0,0.268,0.306,107.939,4,seasonal
454,Imagination,Shawn Mendes,Handwritten (Deluxe),62,217773,2015-04-14,14,0.481,0.455,0,-5.942,1,0.0286,0.0743,0.0,0.0694,0.333,179.468,4,seasonal
455,Never Be Alone,Shawn Mendes,Handwritten (Revisited),51,215800,2015-11-20,3,0.363,0.466,10,-6.927,1,0.0352,0.517,5.8e-05,0.0781,0.275,199.687,4,seasonal
456,Kid In Love,Shawn Mendes,Handwritten (Deluxe),41,225826,2015-04-14,4,0.625,0.598,7,-7.085,1,0.0336,0.0271,0.0,0.15,0.369,85.011,4,seasonal
457,Love Someone,Lukas Graham,Love Someone,81,205463,2018-09-07,1,0.55,0.415,9,-6.557,0,0.052,0.161,0.0,0.108,0.274,172.065,4,seasonal
458,Midnight Train,Sam Smith,The Thrill Of It All (Special Edition),63,207164,2017-11-03,4,0.722,0.615,4,-7.098,1,0.0723,0.336,3.96e-05,0.185,0.392,95.967,4,seasonal
459,Beg - Acoustic,Jack & Jack,Beg (Acoustic),40,225040,2018-01-26,1,0.656,0.642,8,-5.548,1,0.0984,0.483,0.0,0.072,0.837,89.927,4,seasonal
460,Why,Skinny Living,6,56,174730,2017-08-11,1,0.522,0.503,11,-6.198,0,0.0543,0.718,2.84e-06,0.0935,0.367,132.893,4,seasonal
461,Lost Stars,Maroon 5,V (Asia Tour Edition),64,267786,2015-05-18,15,0.494,0.582,0,-4.769,1,0.0266,0.102,0.0,0.0797,0.416,82.025,4,seasonal
462,Morning Light,Justin Timberlake,Man of the Woods,60,243040,2018-02-02,8,0.62,0.497,9,-9.585,0,0.119,0.382,0.0482,0.193,0.55,155.908,4,seasonal
463,Malibu Nights,LANY,Malibu Nights,74,286928,2018-10-05,9,0.559,0.422,11,-11.89,1,0.195,0.701,1.99e-06,0.0853,0.191,74.002,4,seasonal
464,Us,Ed Whicher,Us,32,180540,2017-01-09,1,0.868,0.506,6,-8.811,1,0.317,0.358,0.0,0.0977,0.64,111.064,4,seasonal
465,Stormy Weather,Ed Whicher,Stormy Weather,38,197727,2016-05-17,1,0.713,0.444,1,-9.824,1,0.121,0.554,0.0,0.313,0.589,87.83,4,seasonal
466,Changing Choices,Ed Whicher,Changing Choices,18,195000,2018-06-22,1,0.73,0.615,0,-8.027,0,0.0494,0.155,1.47e-05,0.0902,0.917,95.994,4,seasonal
467,Something New,Ed Whicher,Something New,9,205233,2018-06-29,1,0.844,0.361,2,-9.864,1,0.044,0.387,0.000852,0.13,0.406,107.034,4,seasonal
468,I'll Go,Ed Whicher,I'll Go,9,211069,2015-12-01,1,0.59,0.428,4,-8.583,1,0.113,0.251,0.0,0.121,0.361,99.948,4,seasonal
