,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
91,Crockett Theme,Bacao Rhythm & Steel Band,The Serpent's Mouth,43,231807,2018-09-14,6,0.706,0.547,10,-7.763,1,0.0629,0.0533,0.861,0.0827,0.794,189.527,4,funk
92,Take Me I'm Yours,Mary Clark,"Take Me I'm Yours 12""",6,416173,2004-12-14,1,0.677,0.743,5,-9.977,0,0.0415,0.0124,0.000603,0.0617,0.823,105.122,4,funk
93,Nomalizo,Letta Mbulu,Greatest Hits,48,308440,2015,10,0.848,0.507,5,-10.094,1,0.0397,0.487,0.00464,0.0611,0.689,98.262,4,funk
94,Mam Yinne Wa,Alogte Oho & His Sounds of Joy,Mam Yinne Wa,42,235250,2016-11-11,1,0.397,0.507,5,-5.478,0,0.0767,0.583,0.0875,0.205,0.705,179.687,4,funk
95,Ta Lassa - Hide & Smile Edit,International Soleil Band,Ta Lassa,39,376318,2016-05-13,1,0.693,0.824,4,-7.858,0,0.0454,0.0362,0.0792,0.123,0.661,117.293,4,funk
96,Jose Chicago,Shawn Lee & The Soul Surfers,Shawn Lee & The Soul Surfers,36,201506,2018-06-07,2,0.653,0.824,4,-4.906,0,0.0328,0.00836,0.842,0.0755,0.722,125.811,4,funk
97,Ayonha,Ahmed Malek,Tape 19.11 / Ayonha,4,221500,2017-10-25,2,0.718,0.73,9,-7.405,1,0.0292,0.54,0.0137,0.147,0.729,122.904,4,funk
98,Meet Me on the Corner - Crazy P Remix Radio Edit,Honeyfeet,Meet Me on the Corner (Remixes),39,242000,2018-07-27,2,0.739,0.87,0,-6.552,1,0.0371,0.0104,0.047,0.0712,0.894,115.003,4,funk
99,Born To Boogie,Antal,Surinam Funk Force,44,238863,2016-10-07,1,0.713,0.625,11,-7.283,0,0.17,0.539,0.249,0.0353,0.701,117.318,4,funk
100,Coup de foudre à Thessalonique,Florian Pellissier Quintet,Coup de foudre à Thessalonique,46,262453,2018-04-13,1,0.427,0.63,10,-10.591,0,0.0327,0.814,0.969,0.0777,0.716,115.389,3,funk
101,Short Shrift,The So Ons,Tej b/w Short Shrift,37,182807,2018-07-20,2,0.686,0.578,0,-11.74,1,0.0319,0.0149,0.81,0.0838,0.62,102.405,4,funk
102,Heaven,Ebo Taylor,Ebo Taylor,2,370813,2015-10-15,5,0.76,0.636,8,-11.605,1,0.0902,0.312,0.534,0.0622,0.678,99.223,4,funk
103,Baiana - Wolf Mueller's Drum Drop,Barbatuques,Baianá (Brasingles Vol. 2),38,298944,2018-06-29,2,0.735,0.783,10,-8.051,0,0.0813,0.0201,0.0767,0.0667,0.481,94.994,4,funk
104,Let Your Body Move (Oba Balu Balu),Various Artists,Crown Ruler Sound (Compiled by Jeremy Spellacey),37,246466,2017-10-20,1,0.697,0.8,3,-7.237,1,0.0622,0.139,0.107,0.0791,0.918,104.829,4,funk
105,Ddoje Facce,Nu Guinea,Nuova Napoli,48,261926,2018-05-01,3,0.9,0.455,3,-8.395,0,0.0877,0.231,0.264,0.0538,0.927,104.631,4,funk
106,Suro Nipa,K.O.G & The Zongo Brigade,Wahala Wahala,32,361715,2019-04-26,3,0.625,0.5,11,-10.474,0,0.0834,0.47,0.00319,0.113,0.7,106.417,4,funk
107,Isaac Washington,Cotonete,Isaac Washington,36,368453,2019-01-04,1,0.722,0.374,10,-13.669,0,0.0435,0.000238,0.873,0.133,0.761,120.003,4,funk
108,Gueta,Liquid Saloon,"Gueta (feat. Nitai Hershkovits, Nomok, Amir Bresler & Sefi Zisling)",25,265659,2019-02-01,1,0.711,0.829,7,-8.488,1,0.0348,0.61,0.901,0.118,0.858,121.998,3,funk
109,Akoko Ba,Gyedu-Blay Ambolley,Gyedu-Blay Ambolley (Analog Africa Dance Edition No. 9),38,310265,2018-08-01,2,0.75,0.654,0,-12.525,1,0.0815,0.0982,0.00565,0.0688,0.724,118.306,4,funk
110,An ba jouk - Olivier Portal Playin' 4 The Beach Remix,Edmony Krater,An ba jouk,34,372047,2018-07-06,1,0.747,0.64,1,-9.73,1,0.0458,0.222,0.265,0.0661,0.947,109.994,4,funk
111,Good Vibration,Soothsayers,Tradition,37,287739,2018-06-29,2,0.632,0.723,0,-7.155,0,0.0587,0.363,0.143,0.103,0.685,80.009,4,funk
112,Judge Not - Ray Mang Radio Edit,The Phenomenal Handclap Band,Judge Not (Ray Mang Mixes),36,214287,2018-10-05,5,0.729,0.776,9,-5.218,0,0.0375,0.0471,0.0337,0.131,0.5,112.015,4,funk
113,Avocado Dance,Various Artists,Time Grove Roots,34,329330,2018-07-20,10,0.538,0.777,11,-9.303,0,0.111,0.044,0.109,0.0628,0.962,131.835,4,funk
114,A Gira,Trio Ternura,Trio Ternura (Compacto 1973),44,183053,1973-10-22,1,0.742,0.648,6,-8.8,1,0.0351,0.385,0.0,0.0927,0.962,108.319,4,funk
115,Greetings,Various Artists,Nigeria 70 - Funky Lagos,40,373333,2009-03-23,6,0.653,0.875,9,-5.232,1,0.125,0.0164,0.0311,0.377,0.789,116.956,4,funk
116,Love and Death,Ebo Taylor,Love & Death,52,415090,2010-10-25,3,0.742,0.896,0,-7.208,1,0.0501,0.135,0.461,0.12,0.871,102.451,4,funk
117,Jungle Music,Various Artists,Various Bilongo,40,336133,2000,2,0.755,0.729,5,-8.893,0,0.0647,0.807,0.251,0.0965,0.796,102.319,4,funk
118,Say You Love Me,Om Alec Khaoli,Say You Love Me,38,314032,2017-06-30,1,0.737,0.603,8,-7.417,1,0.0339,0.427,0.0963,0.0656,0.712,108.632,4,funk
119,Esperar Pra Ver,Guts,"Beach Diggin’, Vol. 1",44,128484,2013-06-28,6,0.69,0.64,1,-8.367,0,0.0321,0.47,2.23e-06,0.135,0.906,97.402,4,funk
120,Le manoir des super vilains,Cotonete,Super-Vilains,9,408306,2018-12-15,5,0.546,0.375,0,-11.732,1,0.0557,0.0252,0.679,0.136,0.223,136.928,4,funk
121,Alteleyeshegnem,Alemayehu Eshete,Alteleyeshegnem,37,294177,2017-06-16,1,0.664,0.588,6,-9.598,1,0.141,0.235,0.0145,0.352,0.616,78.929,4,funk
122,A Min We Vo Nou We,Various Artists,African Scream Contest 2 (Analog Africa No. 26),39,376693,2018-05-18,1,0.641,0.788,9,-10.776,1,0.0398,0.0465,0.41,0.627,0.745,103.93,4,funk
123,The Seed - Edit,Tony Allen & Jeff Mills,The Seed (Edit),38,240422,2018-07-06,1,0.791,0.782,10,-11.954,0,0.0865,0.00129,0.901,0.0783,0.723,111.462,4,funk
124,For My People,K.O.G & The Zongo Brigade,Wahala Wahala,2,195565,2019-04-26,1,0.562,0.787,11,-7.585,0,0.419,0.0963,0.000162,0.719,0.731,163.621,4,funk
125,14/08,JJ Whitefield,14/08,35,271428,2019-04-12,1,0.646,0.567,10,-8.387,1,0.028,0.112,0.865,0.144,0.368,100.072,1,funk
126,Sah,Al Massrieen,Modern Music (Habibi Funk 006),39,224000,2017-04-28,3,0.682,0.518,8,-10.089,1,0.227,0.626,0.43,0.0552,0.963,118.539,4,funk
127,I'm Gonna Make It,Gloria Jay,Know What You Want,34,179567,2017-12-08,2,0.837,0.714,10,-7.712,1,0.0322,0.316,0.0225,0.0727,0.962,111.009,4,funk
