,track,artist,album,popularity,time,release_date,track_number,danceability,energy,key,loudness,mode,speechiness,acoustincess,instrumentalness,liveness,valence,tempo,time_signature,genre
449,Mixed Personalities (feat. Kanye West),YNW Melly,We All Shine,86,230400,2019-01-18,9,0.661,0.44,2,-9.104,1,0.0803,0.457,0.0,0.128,0.352,149.937,4,hip hop
450,Homicide,Logic,Homicide,90,245413,2019-05-03,1,0.722,0.764,10,-5.656,0,0.398,0.145,0.0,0.171,0.796,139.831,4,hip hop
451,Faucet Failure,Ski Mask The Slump God,STOKELEY,85,145626,2018-11-30,11,0.935,0.552,10,-9.373,0,0.335,0.111,0.0,0.0952,0.615,99.993,4,hip hop
452,MIDDLE CHILD,PnB Rock,TrapStar Turnt PopStar,78,151574,2019-05-03,6,0.75,0.567,0,-6.4,1,0.48,0.137,0.0,0.109,0.398,151.895,4,hip hop
453,Speed It Up,Gunna,Speed It Up,77,179021,2019-02-11,1,0.912,0.587,7,-7.395,1,0.0582,0.0394,0.01,0.111,0.435,143.027,4,hip hop
454,Act Up,City Girls,Girl Code,63,158332,2018-11-16,7,0.938,0.638,8,-4.696,1,0.188,0.0171,0.0,0.111,0.313,97.07,4,hip hop
455,Red Room,Offset,Red Room,80,241440,2019-02-14,1,0.936,0.559,7,-8.591,0,0.158,0.479,0.0,0.129,0.517,112.339,4,hip hop
456,Slime Belief,YoungBoy Never Broke Again,Realer,79,192606,2018-12-20,2,0.748,0.578,9,-5.72,1,0.194,0.257,0.0,0.13,0.166,140.016,4,hip hop
457,"West Coast (feat. Blueface, ALLBLACK & YG)",G-Eazy,"West Coast (feat. Blueface, ALLBLACK & YG)",78,256966,2019-03-28,1,0.882,0.775,10,-4.986,1,0.334,0.0738,0.0,0.701,0.805,98.023,4,hip hop
458,Have Mercy,YBN Cordae,Have Mercy,77,189400,2019-03-08,1,0.772,0.385,0,-8.037,0,0.324,0.0309,0.0,0.647,0.362,137.962,4,hip hop
459,Same Yung Nigga (feat. Playboi Carti),Gunna,Drip or Drown 2,76,180934,2019-02-22,15,0.852,0.568,1,-9.202,0,0.344,0.183,0.0,0.0993,0.504,81.526,4,hip hop
460,Big Ole Freak,Megan Thee Stallion,Tina Snow,74,214850,2018-12-21,7,0.799,0.699,2,-7.694,1,0.204,0.00867,0.0,0.132,0.627,142.979,4,hip hop
461,I Like Girls (feat. Lil Skies),PnB Rock,I Like Girls (feat. Lil Skies),73,155093,2019-03-21,1,0.701,0.768,1,-3.531,1,0.229,0.354,0.0,0.148,0.724,178.151,4,hip hop
462,Robbery,Juice WRLD,Robbery,62,240527,2019-02-13,1,0.708,0.691,2,-5.179,1,0.0442,0.342,0.0,0.222,0.535,79.99,4,hip hop
463,Wow. - Remix,Post Malone,Wow. (Remix),54,170053,2019-03-15,1,0.797,0.64,11,-6.272,0,0.194,0.148,0.0,0.209,0.486,100.002,4,hip hop
464,Slide (feat. Blueface & Lil Tjay),French Montana,Slide (feat. Blueface & Lil Tjay),79,186344,2019-04-16,1,0.532,0.704,5,-3.895,0,0.26,0.093,0.0,0.184,0.591,96.004,4,hip hop
465,Vossi Bop,Stormzy,Vossi Bop,86,196266,2019-04-26,1,0.682,0.653,8,-6.062,1,0.339,0.13,0.00116,0.129,0.428,188.115,4,hip hop
466,Old Town Road,Lil Nas X,Old Town Road,95,113013,2019-03-14,1,0.908,0.517,1,-6.063,1,0.129,0.0361,1.73e-06,0.0949,0.471,136.019,4,hip hop
467,Swervin (feat. 6ix9ine),A Boogie Wit da Hoodie,Hoodie SZN,91,189486,2018-12-21,4,0.581,0.662,9,-5.239,1,0.303,0.0153,0.0,0.111,0.434,93.023,4,hip hop
468,Praise The Lord (Da Shine) (feat. Skepta),A$AP Rocky,TESTING,83,205040,2018-05-25,5,0.85,0.569,5,-8.152,0,0.136,0.0609,0.0816,0.1,0.294,80.02,4,hip hop
469,Pure Water (with Migos),Mustard,Pure Water (with Migos),89,194519,2019-01-16,1,0.68,0.559,0,-5.545,1,0.129,0.172,0.0,0.318,0.137,202.006,4,hip hop
470,Going Bad (feat. Drake),Meek Mill,Championships,89,180522,2018-11-30,9,0.889,0.496,4,-6.365,0,0.0905,0.259,0.0,0.252,0.544,86.003,4,hip hop
471,Wow. - Remix,Post Malone,Wow. (Remix),54,170053,2019-03-15,1,0.797,0.64,11,-6.272,0,0.194,0.148,0.0,0.209,0.486,100.002,4,hip hop
472,Dip (feat. Nicki Minaj),Tyga,Dip (feat. Nicki Minaj),77,195991,2018-10-29,1,0.885,0.543,2,-6.338,1,0.2,0.0311,0.0,0.154,0.43,99.026,4,hip hop
473,No Stylist,French Montana,No Stylist,81,192172,2018-09-20,1,0.765,0.704,5,-4.589,0,0.127,0.0215,0.0,0.227,0.498,147.055,4,hip hop
474,ZEZE (feat. Travis Scott & Offset),Kodak Black,ZEZE (feat. Travis Scott & Offset),43,228653,2018-10-12,1,0.861,0.637,8,-5.692,0,0.24,0.0515,3.35e-06,0.0967,0.474,98.044,4,hip hop
475,KIKA (feat. Tory Lanez),6ix9ine,DUMMY BOY,81,136031,2018-11-27,4,0.745,0.715,1,-3.368,0,0.245,0.128,0.0,0.182,0.342,94.513,4,hip hop
476,Blessed (with Tyga),Shenseea,Blessed (with Tyga),63,148096,2019-05-22,1,0.653,0.715,1,-5.079,1,0.412,0.0374,3.22e-06,0.443,0.333,107.722,4,hip hop
477,Girls Have Fun (feat. G-Eazy & Rich The Kid),Tyga,Girls Have Fun (feat. G-Eazy & Rich The Kid),78,175710,2019-01-23,1,0.888,0.74,8,-5.363,1,0.238,0.00586,0.0,0.218,0.664,100.003,4,hip hop
478,Clout (feat. Cardi B),Offset,FATHER OF 4,84,205803,2019-02-22,12,0.919,0.622,1,-7.384,1,0.0997,0.228,4.24e-06,0.122,0.424,140.022,4,hip hop
479,STARGAZING,Travis Scott,ASTROWORLD,79,270714,2018-08-03,1,0.487,0.789,8,-3.69,1,0.044,0.00947,4.05e-06,0.189,0.0564,150.007,4,hip hop
